date,n_long,n_short_requested,n_locate_failed,failed,turnover_usd,nav,fee_wavg_short,short_leg_fee_requested
2024-12-31,51,51,1,KSS,2699606481.7447395,2269211699.891031,0.007361181274008468,0.011138413013733793
2025-01-31,51,51,2,"KSS,SNDX",3218855327.7958894,2351622916.686392,0.007690281060517198,0.01385402196527473
2025-02-28,50,50,7,"VKTX,CLSK,ALT,KSS,TLRY,SNDX,MARA",2792685130.0959005,2254365993.081102,0.0072745400111264595,0.01431268753890272
2025-03-31,49,49,6,"CLSK,KSS,RUN,HOG,TDOC,MARA",2460172595.6971016,2238424850.0593514,0.005539479496551437,0.011252770761522738
2025-04-30,50,50,5,"CLSK,KSS,RUN,SNDX,MARA",2729803736.9452405,2395938646.4848433,0.009182192825654722,0.017298142573873618
2025-05-30,51,51,2,"KSS,NVAX",4350448244.423272,2777148116.6104274,0.00671599161553428,0.013852958355110235
2025-06-30,52,52,6,"FLNC,KSS,XRX,SG,RXRX,NVAX",3952236474.232807,3084543019.5411777,0.011069533835499837,0.018195709755451123
2025-07-31,52,52,5,"NVAX,KSS,BEAM,SG,RXRX",3177968413.9033184,3247784160.1614103,0.012074113256142013,0.018454346562797666
2025-08-29,53,53,3,"XPON,NVAX,KSS",5141465092.842957,3156279580.789505,0.011147378528117636,0.019477464696701318
2025-09-30,55,55,5,"SLE,FUN,NVAX,BEAM,AI",4692983933.51113,3734921330.124634,0.010520818064886816,0.014942281006280943
2025-10-31,55,55,4,"REPL,FUN,FIP,SPRY",5458677896.074589,3989281699.1627517,0.014515393961551644,0.018368423169849546
2025-11-28,55,55,2,"UPST,SPRY",4879812801.129926,3646282965.1546655,0.012574209409290913,0.013887791057027796
2025-12-31,55,55,8,"SG,SOC,TLRY,RCAT,SERV,MARA,ENVX,UPST",6305468650.494235,3712645315.188888,0.007566479806635332,0.011584875004479613
2026-01-30,56,56,5,"MARA,GO,NOG,ENVX,SERV",4661327246.528803,4218129080.498626,0.00987619562475466,0.01468320594238351
2026-02-27,56,56,2,"TDOC,HIMS",5781427819.284285,4919005879.212467,0.01248688328977576,0.014897944679705705
2026-03-31,54,54,3,"HIMS,GTM,TDOC",4645903812.814078,4597260888.475401,0.010743234730433487,0.013711976941055085
2026-04-30,56,56,4,"AIXI,CERT,GO,SPRY",6205109130.608894,5617057553.745178,0.01398844294081836,0.02666871658451629
2026-05-29,57,57,4,"AEHL,REPL,SPRY,GO",7664091270.547642,5970409759.700986,0.009285126591015318,0.026292651881502177
2026-06-30,57,57,3,"SDOT,SPRY,UPST",9011490402.008512,6496989053.248903,0.010132416374804115,0.012834008846837918
2026-07-31,56,56,2,"SOC,SPRY",7758082800.194708,4573559050.062529,0.01037495493403669,0.014050325860758313
2026-08-31,56,56,6,"GAUZ,SPRY,SOUN,QUBT,GO,FLO",5662244091.891875,4323693840.768159,0.014561161045194126,0.02409036021049629
