date,MOM_frictionless,MOM_naive,MOM_risk_only,MOM_borrow_aware,SIR_frictionless,SIR_naive,SIR_risk_only,SIR_borrow_aware,REV_frictionless,REV_naive,REV_risk_only,REV_borrow_aware
2025-10-24,4245770589.687026,3779841409.781769,3786751786.674591,4297434684.790271,106965955.31435819,89336520.60725777,88147560.67320405,93959447.38237174,281457561.9925866,242566229.0723671,241766782.16491672,245058112.42233333
2025-10-27,4303194319.730153,3827890883.283489,3834239544.27082,4344072053.981071,107559209.90992844,89852266.05415331,88664515.24836838,94250001.75297907,284533620.30933213,242509243.52376392,241746917.96291736,244546650.77344766
2025-10-28,4312231591.046053,3829211032.9292345,3835332142.1119504,4344616955.964574,108803696.68864472,90802934.84970188,89606941.93281741,95320139.03962892,285129216.36138904,241459356.11536002,240725170.60467938,244362334.21981952
2025-10-29,4454793025.689514,3946744615.871866,3953417661.230894,4514832049.753869,108601569.3594348,90960451.25491476,89801498.0949603,94726446.25903076,272797601.99396205,230182124.65175682,229421508.25717208,232680139.3181501
2025-10-30,4432928463.87959,3927044091.3327327,3933954260.092264,4494522279.073048,109834817.60355331,91985215.74919365,90841541.80106854,95590355.4424864,270732314.5345954,227857914.22975305,227082886.41528985,230396925.14035007
2025-10-31,4499860422.31033,3989548273.404961,3997256892.2649193,4585692822.23088,106379526.96579157,89248915.39587809,88123810.6545455,92750313.49802132,263863464.07826325,222469772.12234053,221724257.88795927,225240520.01988384
2025-11-03,4379050895.427515,3883542771.7486124,3891224111.5590835,4455613067.872906,108830426.99676058,91897572.11483565,90777859.493678,94920931.05398752,259853016.27315995,218597096.6422368,217828685.49879098,221105831.2329901
2025-11-04,4231585018.961069,3747164566.372985,3754955377.8717823,4296208824.892657,113275401.54585378,95174726.577297,94001800.49246599,99100848.65032104,271739580.3062012,228036210.53492835,227239594.74291694,231139735.0110739
2025-11-05,4383070851.4299755,3876242741.811176,3883970677.920541,4447192085.361673,112385213.28655677,94656184.5409999,93506484.63270281,98191832.91660625,265344226.80656344,221360417.80422848,220608156.43626833,225251682.4306383
2025-11-06,4223365870.177822,3725619910.595985,3733218221.3466907,4284265599.2146463,115875159.12708443,96842176.26851167,95679852.70088373,101042870.3687246,264479594.2928488,220979486.90317062,220237439.96081695,224880549.1942343
2025-11-07,4314268774.22748,3807782084.8158393,3816248295.824401,4374536470.309402,116236933.67481723,96628169.19959177,95455560.6314132,101417128.84141052,266673385.58500078,222771748.2718705,222024362.20283902,227250446.02572757
2025-11-10,4425030949.459516,3904341656.754539,3913418665.8002872,4489730012.771406,116843161.37717699,97181564.76566112,96000436.74769083,101680375.45916478,262612619.05812332,219576690.97222775,218835113.58608994,223595457.4354025
2025-11-11,4307025899.558654,3794932616.9423637,3803112354.9758925,4373596987.22105,116784117.9193879,97355293.23049393,96166075.2779595,102018514.40983468,268799753.17703027,224981546.0102827,224224743.3038355,228929960.39563948
2025-11-12,4252142659.7953672,3745559148.677361,3753705149.9835877,4304732216.39622,117889007.50728577,98340180.20925908,97137093.45684332,102814918.26563725,271490097.1212788,227214238.49123704,226444171.98628536,231213803.49662894
2025-11-13,4053074897.4975667,3562411877.4531717,3570201456.652209,4100200298.6389027,119602251.53530765,99422153.79938002,98208663.91044842,104233834.86863995,280820231.72581273,235158163.1899075,234335008.0791546,239074600.6208886
2025-11-14,4049502332.152009,3558486896.651523,3566357256.8920374,4097915128.7358675,120143594.5855228,99643949.81824219,98409075.55938289,104393499.3144781,278461853.58240956,232382741.82127115,231551535.5335465,236368002.6533553
2025-11-17,4087291844.8504314,3584325541.051336,3591820752.985096,4134694893.242992,121186254.58319692,100697117.50697897,99476717.3083481,105347205.49864195,276162853.8021876,229988692.2853101,229144042.96407112,233996698.8722868
2025-11-18,4149903123.0535994,3636749470.767019,3644712621.888823,4200627447.4061317,120023057.51749685,99570501.96441104,98355535.42085725,104188496.09095548,280290195.64577,234313846.32354534,233465907.29878655,237873980.65790424
