date,nav_open,pnl_long,pnl_short,shadow_pnl_short,fees,rebate,financing,impact,recall_impact,n_recalls,n_reentries,n_reentry_failed,n_missing,n_short,n_long,short_notional,long_notional,fee_wavg,cash,margin_regt_initial,margin_regt_maint,margin_pm,nav,excess_equity_regt,excess_equity_pm
2021-10-21,866238105.1366969,-10503540.311953943,-1610357.7864893589,-1610357.7864893596,78670.68105539512,1797.2769750361413,-350.91657077188523,0.0,0.0,0,0,0,0,46,46,808774638.7662635,875826564.887867,0.035017721652529685,-21781028.530668736,842300601.8270652,461589032.85184574,252690180.54811954,854046982.7176025,392457949.86575675,601356802.169483
2021-10-22,854046982.7176025,-16287794.182384858,8958209.50847631,8958209.508476311,82527.24738127198,1777.3698641276812,-207.8962640956152,0.0,0.0,0,0,0,0,46,46,799816438.8574564,859538776.8436266,0.03714578447487099,-12903906.047314048,829677607.8505416,454829625.86814356,248903282.35516247,846636440.2699126,391806814.40176904,597733157.9147501
2021-10-25,846636440.2699126,32585528.045868404,-9660340.735886682,-9660340.735886684,76552.66324592,1798.8372567641761,-364.7431988548726,0.0,0.0,0,0,0,0,46,46,809476765.5438793,892124307.9490198,0.03404539814063052,-22639233.0323714,850800536.7464495,465874106.65041876,255240161.02393484,869486509.0107063,403612402.36028755,614246347.9867715
2021-10-26,869486509.0107063,-8508858.73463251,3785187.788332105,3785187.7883321065,82364.15515651437,1790.4257600061271,-305.0634539051352,0.0,0.0,0,0,0,0,46,46,805691592.0027572,883615446.9102578,0.03680204206008855,-18934973.00100839,844653519.4565074,462611339.3283916,253396055.8369522,864681959.2715555,402070619.94316393,611285903.4346033
2021-10-27,864681959.2715555,-31440250.150386643,15987124.504289728,15987124.504289731,84348.951166706,1754.8987841989106,-48.82830086922884,0.0,0.0,0,0,0,0,46,46,789704452.8895097,852175206.7972095,0.038451881978007175,-3030722.122917652,820939829.8433596,449955137.5661553,246281948.95300788,849146190.7447752,399191053.17861986,602864241.7917674
2021-10-28,849146190.7447752,26265080.574264824,-20289354.111626744,-20289354.11162675,66983.57037327887,1760.9763631261671,-376.4737695134742,0.0,17554.447257370288,1,0,0,1,45,46,792439363.4067752,878404716.6078602,0.030430196236985965,-23367337.418077707,835422040.0073178,457332988.17399764,250626612.00219533,855038763.6923761,397705775.5183785,604412151.6901808
2021-10-29,855038763.6923761,9603934.645936735,10026085.043204036,9921718.131546631,72232.42731240325,1700.7448565751708,-17.130637866297665,1009702.5958227974,0.0,0,0,0,0,46,46,874668783.3815163,874668783.3815163,0.02972973807517581,-1081935.0231345892,874668783.3815163,481067830.85983396,262400635.0144549,873588531.9726005,392520701.1127665,611187896.9581456
2021-11-01,873588531.9726005,39499169.804091394,-25865084.77119632,-25865084.771196328,74850.67782441563,2001.1863633520718,-435.32517258020556,0.0,0.0,0,0,0,0,46,46,900533863.5084321,914167949.4533391,0.02992252163822967,-27020183.12566793,907350906.4808856,498702146.4158644,272205271.94426566,887149332.188862,388447185.77299756,614944060.2445962
2021-11-02,887149332.188862,19462680.315527268,13528849.150902336,13528849.15090234,75205.01404888138,1971.122248476127,-218.5464757639063,0.0,0.0,0,0,0,0,46,46,887005011.8142571,933630610.3093472,0.03052271937248836,-13564953.66810453,910317811.0618021,499509156.1216139,273095343.31854063,920067409.2170154,420558253.09540147,646972065.8984747
2021-11-03,920067409.2170154,9196311.589032296,-20787266.717069607,-20787266.71706961,74483.8787673465,2017.3161764918677,-554.6248203145352,0.0,0.0,0,0,0,0,46,46,907792279.4213405,942826959.0573198,0.029537810536720003,-34424988.84710908,925309619.23933,508044423.5907321,277592885.771799,908403432.9015669,400359009.31083477,630810547.1297679
2021-11-04,908403432.9015669,-7200955.634148436,8651658.458479714,8651658.458479714,89273.35510856168,1998.0902751184246,-416.6513697436253,0.0,0.0,0,0,0,0,46,46,899140623.8032911,935625981.872118,0.03574347214247687,-25861119.50132847,917383302.8377045,503648682.60901684,275214990.8513113,909766443.8096949,406117761.20067805,634551452.9583836
